airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,12036.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,64.0,5431.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,215.0,607.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,296.0,13.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,833.0,125.0
MIA,2024,9,9.856748078745131,83.5993095512083,75.8255,5.318491644678979,322.0,8.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,217.0,680.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,379.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,684.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,1273.0,5431.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,66.0,607.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,18.0,125.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,205.0,680.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,343.0,13.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,15.0,5431.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,161.0,680.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,1943.0,607.0
MIA,2024,9,9.856748078745131,83.5993095512083,75.8255,5.318491644678979,527.0,8.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,537.0,680.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,666.0,1026.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,502.0,607.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,20.0,125.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,391.0,680.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,510.0,1026.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,261.0,607.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,1326.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,6089.0,5431.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,4107.0,607.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,418.0,13.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,4868.0,125.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,1850.0,680.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,4802.0,13.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,43.0,680.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,16.0,125.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,244.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,675.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,1347.0,5431.0
DFW,2024,9,9.823931305827308,78.94167741935485,9.4215,7.189427480916031,82.0,607.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,350.0,125.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,871.0,680.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,814.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,744.0,1026.0
DEN,2024,9,9.924448010269577,69.49010416666667,8.3916,8.204505494505495,988.0,5431.0
LAX,2024,9,8.713329462683415,67.84884259259259,0.0008,6.1070303162012385,44.0,125.0
SFO,2024,9,9.458714799915308,60.367686658506734,0.0,7.877898202771299,226.0,13.0
ATL,2024,9,9.467770034843205,74.76706443914081,96.9269,6.842646714987141,117.0,1026.0
JFK,2024,9,9.750669383003492,68.9139534883721,7.1044,7.214549483013294,916.0,13.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,187.0,680.0
ORD,2024,9,9.726748511904763,70.34064516129033,9.7433,5.521754678745977,834.0,680.0
ATL,2024,8,9.853133430172235,81.18785625774473,8.0311,6.099073874650011,896.0,1026.0
JFK,2024,8,9.532610283377155,75.25965317919075,32.4381,8.350995504174694,3655.0,13.0
ATL,2024,8,9.853133430172235,81.18785625774473,8.0311,6.099073874650011,1729.0,1026.0
DEN,2024,8,9.581926380368099,74.17551487414188,6.8756,8.20934740469524,878.0,5431.0
DFW,2024,8,9.967224979321754,88.34196078431373,3.9511,7.480630216135245,14004.0,607.0
JFK,2024,8,9.532610283377155,75.25965317919075,32.4381,8.350995504174694,4012.0,13.0
LAX,2024,8,9.456133580323145,69.15465393794749,0.0001,6.205275229357798,5032.0,125.0
MIA,2024,8,9.787317300715248,83.95484913793103,111.4091,5.9239836950534315,5482.0,8.0
ORD,2024,8,9.835631947303417,74.42137592137593,20.3536,6.005153484203451,8291.0,680.0
SFO,2024,8,9.494245195766108,60.58708891595615,0.3603,9.167622598221968,1578.0,13.0
ATL,2024,8,9.853133430172235,81.18785625774473,8.0311,6.099073874650011,49.0,1026.0
DEN,2024,8,9.581926380368099,74.17551487414188,6.8756,8.20934740469524,199.0,5431.0
DFW,2024,8,9.967224979321754,88.34196078431373,3.9511,7.480630216135245,47.0,607.0
JFK,2024,8,9.532610283377155,75.25965317919075,32.4381,8.350995504174694,1105.0,13.0
LAX,2024,8,9.456133580323145,69.15465393794749,0.0001,6.205275229357798,1091.0,125.0
MIA,2024,8,9.787317300715248,83.95484913793103,111.4091,5.9239836950534315,69.0,8.0
ORD,2024,8,9.835631947303417,74.42137592137593,20.3536,6.005153484203451,216.0,680.0
SFO,2024,8,9.494245195766108,60.58708891595615,0.3603,9.167622598221968,1023.0,13.0
ATL,2024,8,9.853133430172235,81.18785625774473,8.0311,6.099073874650011,189.0,1026.0
DEN,2024,8,9.581926380368099,74.17551487414188,6.8756,8.20934740469524,320.0,5431.0
